Jan-31,31270
Feb-31,43827
Mar-31,49884
Apr-31,43962
May-31,35156
Jun-31,25764
Jul-31,18109
Aug-31,13320
Sep-31,8225
Oct-31,8900
Nov-31,13766
Dec-31,20880
Jan-32,33160
Feb-32,39791
Mar-32,48274
Apr-32,45604
May-32,38578
Jun-32,29111
Jul-32,21390
Aug-32,12128
Sep-32,6763
Oct-32,7401
Nov-32,18222
Dec-32,27918
Jan-33,36329
Feb-33,45715
Mar-33,49776
Apr-33,53821
May-33,41418
Jun-33,26486
Jul-33,14022
Aug-33,7595
Sep-33,5530
Oct-33,9445
Nov-33,9375
Dec-33,16806
Jan-34,25239
Feb-34,40503
Mar-34,44913
Apr-34,45356
May-34,35111
Jun-34,26370
Jul-34,20012
Aug-34,10434
Sep-34,4687
Oct-34,5310
Nov-34,11959
Dec-34,34043
Jan-35,42189
Feb-35,49476
Mar-35,50502
Apr-35,46586
May-35,29405
Jun-35,22169
Jul-35,14909
Aug-35,11234
Sep-35,7555
Oct-35,8206
Nov-35,10985
Dec-35,16850
Jan-36,26190
Feb-36,32822
Mar-36,31995
Apr-36,29034
May-36,25887
Jun-36,22486
Jul-36,13137
Aug-36,7556
Sep-36,6106
Oct-36,6177
Nov-36,6950
Dec-36,16654
Jan-37,33902
Feb-37,40777
Mar-37,50936
Apr-37,47561
May-37,30494
Jun-37,19004
Jul-37,14333
Aug-37,8465
Sep-37,6781
Oct-37,8094
Nov-37,10059
Dec-37,12026
Jan-38,21011
Feb-38,31748
Mar-38,33576
Apr-38,30698
May-38,23528
Jun-38,13872
Jul-38,10491
Aug-38,5490
Sep-38,3635
Oct-38,4763
Nov-38,7456
Dec-38,10985
Jan-39,17746
Feb-39,25489
Mar-39,31942
Apr-39,35918
May-39,24789
Jun-39,11898
Jul-39,6436
Aug-39,4149
Sep-39,2505
Oct-39,5164
Nov-39,7726
Dec-39,17943
Jan-40,28519
Feb-40,33502
Mar-40,40638
Apr-40,37546
May-40,30350
Jun-40,24917
Jul-40,20356
Aug-40,19034
Sep-40,16681
Oct-40,9842
Nov-40,14002
Dec-40,21041
Jan-41,21623
Feb-41,33152
Mar-41,51180
Apr-41,47786
May-41,39419
Jun-41,26823
Jul-41,17026
Aug-41,13442
Sep-41,11632
Oct-41,14352
Nov-41,17638
Dec-41,23417
Jan-42,27441
Feb-42,42441
Mar-42,43420
Apr-42,43570
May-42,39155
Jun-42,34414
Jul-42,22925
Aug-42,14421
Sep-42,12849
Oct-42,13495
Nov-42,14550
Dec-42,14493
Jan-43,20303
Feb-43,29763
Mar-43,39542
Apr-43,38468
May-43,32102
Jun-43,23004
Jul-43,14827
Aug-43,8976
Sep-43,6432
Oct-43,7586
Nov-43,16558
Dec-43,22631
Jan-44,28127
Feb-44,37723
Mar-44,46270
Apr-44,42516
May-44,27966
Jun-44,19548
Jul-44,13403
Aug-44,9036
Sep-44,6861
Oct-44,7927
Nov-44,17639
Dec-44,19575
Jan-45,27119
Feb-45,39068
Mar-45,44423
Apr-45,45750
May-45,35054
Jun-45,18608
Jul-45,9199
Aug-45,7235
Sep-45,7393
Oct-45,9068
Nov-45,14475
Dec-45,20877
Jan-46,26622
Feb-46,33532
Mar-46,40960
Apr-46,41852
May-46,30138
Jun-46,24457
Jul-46,18721
Aug-46,12637
Sep-46,9337
Oct-46,10130
Nov-46,12063
Dec-46,22825
Jan-47,31394
Feb-47,35644
Mar-47,39775
Apr-47,33204
May-47,25605
Jun-47,16138
Jul-47,10305
Aug-47,7304
Sep-47,6001
Oct-47,6786
Nov-47,13977
Dec-47,16879
Jan-48,20483
Feb-48,27636
Mar-48,33670
Apr-48,35795
May-48,30494
Jun-48,22629
Jul-48,14938
Aug-48,9287
Sep-48,5787
Oct-48,5379
Nov-48,8189
Dec-48,15893
Jan-49,22610
Feb-49,30157
Mar-49,36050
Apr-49,37509
May-49,31533
Jun-49,22963
Jul-49,15688
Aug-49,10245
Sep-49,6331
Oct-49,6349
Nov-49,10378
Dec-49,16011
